"Source:","C:\Users\AaronN\Desktop\Personal\PersonalProjects\TrackpadLights\TrackpadLights.kicad_sch"
"Date:","5/24/2022 8:09:30 PM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/AaronsFavoriteBOMScript.py"
"Component Count:","102"
"Ref","Qnty","Value","Cmp name","Description","Manufacturer","Part Number","JLCPCB","JLC Number"
"C1, C2, C3, C9, C13, C15, C16, C17, C20, C22, C26, C28, C31, ","13","0.1uF","0.1uF","CAP CER 0.1UF 25V X5R 0402","Samsung Electro-Mechanics","1276-1043-1-ND","Yes","C307331"
"C4, C6, C7, C10, ","4","10uF","10uF","CAP CER 10UF 16V X5R 0805","Samsung Electro-Mechanics","1276-2893-1-ND","Yes","C15850"
"C5, C8, C12, C18, C19, C21, C25, C27, C29, C30, C32, C33, ","12","2.2uF","2.2uF","CAP CER 2.2UF 10V X5R 0603","Samsung Electro-Mechanics","1276-1085-1-ND","Yes","C23630"
"C11, ","1","1uF","1uF","CAP CER 1UF 10V X5R 0402","Samsung Electro-Mechanics","1276-1076-1-ND","Yes","C52923"
"C14, ","1","0.01uF","0.01uF","CAP CER 10000PF 16V X5R 0402","KYOCERA AVX","478-0402YD103KAT2ACT-ND","Yes","C15195"
"C23, C24, ","2","20pF","20pF_1","CAP CER 20PF 50V C0G/NP0 0402","Samsung Electro-Mechanics","1276-1661-1-ND","Yes","C1554"
"CN1, ","1","2137160001","2137160001","CONN RCPT USB2.0 TYPE C 24POS RA","Personal","Personal","",""
"CN2, ","1","3220-14-0100-00","3220-14-0100-00","JTAG/SWD 14 Pin CONN HEADER VERT 14POS 1.27MM","Personal","Personal","",""
"CN3, ","1","B8B-PH-K-S(LF)(SN)","B8B-PH-K-S(LF)(SN)","JST PH CONN HEADER VERT 8POS 2MM","JST Sales America Inc.","455-1710-ND","",""
"FB1, FB2, ","2","GZ2012D601TF","GZ2012D601TF","JLCPCB 600Ω @ 100MHz 300mΩ 0805 Ferrite Beads ROHS","JLCPCB","C1017","Yes","C1017"
"LED1, LED2, ","2","NCD0805R1","NCD0805R1","JLCPCB LED RED DIFFUSED 0805 SMD","Foshan NationStar Optoelectronics","C84256","",""
"LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, ","25","19-213SUBC/S400-A5/S208-2/TR8","19-213SUBC{slash}S400-A5{slash}S208-2{slash}TR8","LED BLUE CLEAR 2SMD","Everlight Electronics Co Ltd","1080-1581-1-ND","Yes","C72041"
"Q1, Q2, ","2","2N7002","2N7002","JLCPCB MOSFET N-CH 60V 115MA SOT-23","Changjiang Electronics Tech (CJ)","C8545","Yes","C8545"
"R1, R5, R9, R10, R11, R22, R25, ","7","4.7k","4.7k","RES 4.7K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT4K70CT-ND","Yes","C25900"
"R2, R3, R21, ","3","100","100","RES 100 OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT100RCT-ND","Yes","C25076"
"R4, R6, ","2","5.1k_0603","5.1k_0603","RES 5.1K OHM 1% 1/10W 0603","Stackpole Electronics Inc","RMCF0603FT5K10CT-ND","Yes","C23186"
"R7, R8, R18, R19, ","4","0","0","RES 0 OHM JUMPER 1/16W 0402","Stackpole Electronics Inc","RMCF0402ZT0R00CT-ND","Yes","C17168"
"R12, R13, ","2","33","33","RES 33 OHM 1% 1/16W 0402","YAGEO","311-33.0LRCT-ND","Yes","C25105"
"R14, R20, ","2","10k","10k_1","RES 10K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT10K0CT-ND","Yes","C25744"
"R15, R16, ","2","0.1","0.1","RES 0.1 OHM 1% 1/2W 1206","Stackpole Electronics Inc","CSR1206FTR100CT-ND","Yes","C25334"
"R17, R23, R26, ","3","1k","1k","RES 1K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT1K00CT-ND","",""
"R24, ","1","100k","100k","RES SMD 100 KOHM 1% 1/16W 0402","Delta Electronics/Cyntec","2037-PFR05S-104-FNHCT-ND","Yes","C25741"
"SW1, SW2, SW3, ","3","FSM2JSMAA","FSM2JSMAA","SMD Momentary PushButton","Personal","Personal","",""
"U1, ","1","INA180B1IDBVT","INA180B1IDBVT","IC CURR SENSE 1 CIRCUIT SOT23-5","Texas Instruments","296-46631-1-ND","",""
"U2, ","1","STM32F030C8T6","STM32F030C8T6","ARM Cortex-M0 MCU, 64KB flash, 8KB RAM, 48MHz, 2.4-3.6V, 39 GPIO, LQFP-48","","","Yes","C23922"
"U3, ","1","CP2102-GMR","CP2102-GMR","JLCPCB IC USB-TO-UART BRIDGE 28VQFN","CP2102-GMR","IC USB-TO-UART BRIDGE 28VQFN","",""
"U4, ","1","IS31FL3236A-TQLS4-TR","IS31FL3236A-TQLS4-TR","36-CHANNEL LED DRIVER, ETQFP-48","Lumissil Microsystems","2521-IS31FL3236A-TQLS4-TRCT-ND","",""
"U5, ","1","MCP1826T-3302E_DC","MCP1826T-3302E_DC","IC REG LINEAR 3.3V 1A SOT223-5","Microchip Technology","MCP1826T-3302E/DCCT-ND","",""
"Y1, ","1","ECS-80-18-33-JGN-TR","ECS-80-18-33-JGN-TR","CRYSTAL 8.0000MHZ 18PF SMD","Personal","Personal","",""
